Poste,Entreprise,Ville,Type de contrat,Expérience,Lien
Financial Reporting Manager,Cypher,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/cypher/jobs/financial-reporting-manager-casablanca/apply
Responsable HSE,TGCC,Casablanca,CDD,6-9,https://www.jobzyn.com/fr/companies/TGCC/jobs/responsable-hse-casablanca/apply
Responsable études de prix,TGCC,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/TGCC/jobs/responsable-etudes-de-prix-casablanca/apply
Talent Acquisition Specialist,Theodo Morocco,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/theodo-morocco/jobs/talent-acquisition-specialist-casablanca/apply
Consulting Data Manager,ARTEFACT,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/artefact/jobs/consulting-data-manager-casablanca/apply
Data consultant,Akumenia,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/Akumenia/jobs/data-consultant-casablanca/apply
Chief Technical Officer,Akumenia,Casablanca,CDI,10-et,https://www.jobzyn.com/fr/companies/Akumenia/jobs/chief-technical-officer-casablanca/apply
KAM Clinique Rabat/Fes/Meknes Oriental,Sterifil,Rabat,CDI,3-5,https://www.jobzyn.com/fr/companies/sterifil/jobs/kam-clinique-rabatfesmeknes-oriental-rabat/apply
Développeur Web Senior,Theodo Morocco,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/theodo-morocco/jobs/senior-web-developer-casablanca/apply
Responsable Technique,Maghreb Industries,Nouasseur,CDI,10-et,https://www.jobzyn.com/fr/companies/Maghreb-Industries/jobs/responsable-technique-nouasseur/apply
Responsable Méthodes,Maghreb Industries,Nouasseur,CDI,6-9,https://www.jobzyn.com/fr/companies/Maghreb-Industries/jobs/responsable-methodes-nouasseur/apply
Responsable de Production,Maghreb Industries,Nouasseur,CDI,6-9,https://www.jobzyn.com/fr/companies/Maghreb-Industries/jobs/responsable-de-production-nouasseur/apply
Responsable Trésorerie,Maghreb Industries,Nouasseur,CDI,6-9,https://www.jobzyn.com/fr/companies/Maghreb-Industries/jobs/responsable-tresorerie-nouasseur/apply
Senior Web Developer React/Spring Boot,Theodo Morocco,Casablanca,Freelance,3-5,https://www.jobzyn.com/fr/companies/theodo-morocco/jobs/senior-web-developer-casablanca-1/apply
UI/UX Designer,Theodo Morocco,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/theodo-morocco/jobs/uiux-designer-casablanca/apply
Senior Analyst (English Speaking),Deloitte Extended Services,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/Deloitte/jobs/chargee-de-facturation-anglophone-casablanca/apply
Data Consultant Senior,ARTEFACT,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/artefact/jobs/data-consultant-senior-casablanca/apply
Data Consultant Manager,ARTEFACT,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/artefact/jobs/data-consultant-manager-casablanca/apply
Ingénieur Systèmes et Réseaux,TGCC,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/TGCC/jobs/ingenieur-systemes-et-reseaux-casablanca/apply
Manager Transformation Digitale & Innovation,Intelcia,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/intelcia/jobs/manager-transformation-digitale-innovation/apply
Consultant Senior Data & IA,Intelcia,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/intelcia/jobs/consultant-senior-data-ia/apply
Chef de projet SIRH,Intelcia,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/intelcia/jobs/chef-de-projet-sirh/apply
Chef de produit,Sterifil,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/sterifil/jobs/chef-de-produit-casablanca/apply
Consultant Senior spécialité Finance & Corporate,Valyans,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/valyans/jobs/consultant-senior-finance-casablanca/apply
Juriste Confirmé,KLK Khayatey Living,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/klk-khayatey/jobs/juriste-confirme-casablanca/apply
Directeur D’Hotel,KLK Khayatey Living,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/klk-khayatey/jobs/directeur-dhotel-casablanca/apply
Consultant Senior spécialité Finance & Corporate,Valyans,Rabat,CDI,3-5,https://www.jobzyn.com/fr/companies/valyans/jobs/consultant-senior-specialite-finance-corporate-rabat/apply
Consultant(e) Senior,Valyans,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/valyans/jobs/consultante-senior-casablanca/apply
Consultant(e) Senior,Valyans,Rabat,CDI,3-5,https://www.jobzyn.com/fr/companies/valyans/jobs/consultante-senior-rabat/apply
After Sales Service Specialist,LNKO,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/lnko/jobs/after-sales-service-specialist-casablanca/apply
Sales Specialist,LNKO,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/lnko/jobs/sales-specialist-casablanca/apply
Regional Manager East,Glovo,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/glovo/jobs/regional-manager-east-morocco-fes/apply
Responsable Planification des Projets de Construction,A.Lazrak,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/alazrak/jobs/responsable-planification-des-projets-de-construction-casablanca/apply
Senior ML/AI engineer,Jobzyn,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/Jobzyn/jobs/senior-mlai-engineer-casablanca/apply
Assistant(e) de direction expérimenté(e) F/H,Deloitte Extended Services,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/Deloitte/jobs/assistante-de-direction-experimentee-fh-casablanca/apply
Agent d’Accueil et Caissière,KLK Khayatey Living,Dar Bou Azza,CDI,3-5,https://www.jobzyn.com/fr/companies/klk-khayatey/jobs/agent-daccueil-et-caissiere-dar-bou-azza/apply
Consultant(e) Junior,Valyans,Rabat,CDI,0-2,https://www.jobzyn.com/fr/companies/valyans/jobs/consultante-junior-rabat/apply
Consultant(e) Junior,Valyans,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/valyans/jobs/consultante-junior-casablanca/apply
Commercial Immobilier Neuf,KLK Khayatey Living,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/klk-khayatey/jobs/commercial-casablanca/apply
Agent de recouvrement & Contentieux,KLK Khayatey Living,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/klk-khayatey/jobs/agent-de-recouvrement-contentieux-casablanca/apply
Data Steward Clients Fournisseurs (H/F),Deloitte Extended Services,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/Deloitte/jobs/data-steward-clients-fournisseurs-hf-casablanca/apply
Chef de Projet Informatique,A.Lazrak,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/alazrak/jobs/chef-de-projet-informatique-casablanca/apply
Responsable Études de Prix,A.Lazrak,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/alazrak/jobs/responsable-etudes-de-prix-casablanca/apply
Chargé de Méthodes,Bottu,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/bottu/jobs/charge-de-methodes--casablanca/apply
Chargé Etudes de Marché,Bottu,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/bottu/jobs/charge-etudes-de-marche-casablanca/apply
Ingénieur Production,Bottu,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/bottu/jobs/ingenieur-production/apply
Chargé(e) Administration RH,Bottu,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/bottu/jobs/chargee-administration-rh-casablanca/apply
Développeur.Net,Bottu,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/bottu/jobs/developpeurnet-casablanca/apply
Data Scientist,ARTEFACT,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/artefact/jobs/data-scientist-senior-casablanca/apply
Category Manager,KITEA,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/kitea/jobs/category-manager-cac-casablanca/apply
AI engineer / Data scientist,Akumenia,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/Akumenia/jobs/ai-engineer-data-scientist-casablanca/apply
Data Engineer,Akumenia,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/Akumenia/jobs/data-engineer-casablanca/apply
Senior Financial Analyst,Cypher,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/cypher/jobs/senior-financial-analyst-casablanca/apply
Accounting Manager,Cypher,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/cypher/jobs/accounting-manager-casablanca/apply
Data Engineer,ARTEFACT,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/artefact/jobs/data-engineer-junior-casablanca/apply
Data Analyst,ARTEFACT,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/artefact/jobs/data-analyst-manager-casablanca/apply
Data Analyst,ARTEFACT,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/artefact/jobs/data-analyst-senior-casablanca/apply
Comptable,KITEA,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/kitea/jobs/comptable-casablanca/apply
Consultante(e) EPM/Anaplan,Deloitte Extended Services,Casablanca,CDI,0-2,https://www.jobzyn.com/fr/companies/Deloitte/jobs/consultantee-epmanaplan-casablanca/apply
Senior Administrative Assistant,JESA Advisory,Casablanca,CDI,6-9,https://www.jobzyn.com/fr/companies/jesa-ads/jobs/senior-administrative-assistant-casablanca/apply
Data Engineer Senior,ARTEFACT,Casablanca,CDI,3-5,https://www.jobzyn.com/fr/companies/artefact/jobs/data-engineer-senior-casablanca/apply
